"Geburtsland","Geburtsort","Geburtsort.korrigiert","Geburtsort_Land.kombiniert","Anzahl.Personen","Notizen","Lat_Bing","Long_Bing","Distanz.zu.Düsseldorf"
"Nordrhein-Westfalen","Bad Oeynhausen Stadt","Bad Oeynhausen","Bad Oeynhausen, Nordrhein-Westfalen",188,"",52.22249985,8.816619873,180.043709901453
"Nordrhein-Westfalen","BARDENBERG","Bardenberg","Bardenberg, Nordrhein-Westfalen",315,"",50.84019852,6.110660076,62.6185905264491
"Nordrhein-Westfalen","Beckum Stadt","Beckum ","Beckum , Nordrhein-Westfalen",211,"",51.76010132,8.04763031,107.075794728596
"Nordrhein-Westfalen","Bergheim Stadt","Bergheim ","Bergheim , Nordrhein-Westfalen",122,"",50.94889832,6.648990154,30.9619732657956
"Nordrhein-Westfalen","Bergisch Gladbach Stadt","Bergisch Gladbach ","Bergisch Gladbach , Nordrhein-Westfalen",1205,"",50.98949814,7.123159885,34.9739864228917
"Nordrhein-Westfalen","Bielefeld Stadt","Bielefeld ","Bielefeld , Nordrhein-Westfalen",1378,"",52.00189972,8.592909813,153.239521604453
"Nordrhein-Westfalen","Bocholt Stadt","Bocholt ","Bocholt , Nordrhein-Westfalen",536,"",51.81980133,6.609749794,68.1603897473637
"Nordrhein-Westfalen","Bochum Stadt","Bochum ","Bochum , Nordrhein-Westfalen",1856,"",51.48199844,7.212639809,42.4537206191444
"Nordrhein-Westfalen","Bonn Stadt","Bonn ","Bonn , Nordrhein-Westfalen",2296,"",50.73242188,7.101860046,58.3915332403246
"Nordrhein-Westfalen","Borken Stadt","Borken ","Borken , Nordrhein-Westfalen",275,"",51.95780182,6.922500134,83.1428889396521
"Nordrhein-Westfalen","Bottrop Stadt","Bottrop ","Bottrop , Nordrhein-Westfalen",629,"",51.51819992,6.932169914,35.3543633628437
"Nordrhein-Westfalen","Brilon Stadt","Brilon ","Brilon , Nordrhein-Westfalen",249,"",51.38650131,8.566949844,126.335221995
"Nordrhein-Westfalen","Brühl Stadt","Brühl ","Brühl , Nordrhein-Westfalen",130,"",50.83039856,6.90557003,43.7820044175047
"Nordrhein-Westfalen","Bünde Stadt","Bünde ","Bünde , Nordrhein-Westfalen",145,"",52.196763,8.582987,165.831982103953
"Nordrhein-Westfalen","CastropRauxel Stadt","Castrop-Rauxel ","Castrop-Rauxel , Nordrhein-Westfalen",301,"",51.54769897,7.316150188,52.6977367407827
"Nordrhein-Westfalen","Coesfeld Stadt","Coesfeld ","Coesfeld , Nordrhein-Westfalen",320,"",51.9294014,7.165850163,83.8378960063341
"Nordrhein-Westfalen","Datteln Stadt","Datteln ","Datteln , Nordrhein-Westfalen",250,"",51.6631012,7.34528017,63.5755045784367
"Nordrhein-Westfalen","Detmold Stadt","Detmold ","Detmold , Nordrhein-Westfalen",425,"",51.94300079,8.876379967,166.539861321247
"Nordrhein-Westfalen","Dinslaken Stadt","Dinslaken ","Dinslaken , Nordrhein-Westfalen",775,"",51.56110001,6.765950203,38.4172093399962
"Nordrhein-Westfalen","Dormagen Stadt","Dormagen ","Dormagen , Nordrhein-Westfalen",608,"",51.1006012,6.854050159,13.9045059737532
"Nordrhein-Westfalen","Dorsten Stadt","Dorsten ","Dorsten , Nordrhein-Westfalen",337,"",51.6631012,6.963759899,51.4358351487429
"Nordrhein-Westfalen","Dortmund Stadt","Dortmund ","Dortmund , Nordrhein-Westfalen",2415,"",51.51660919,7.4582901,58.1153649356455
"Nordrhein-Westfalen","Duisburg Stadt","Duisburg ","Duisburg , Nordrhein-Westfalen",8294,"",51.43143082,6.763929844,24.0081827297693
"Nordrhein-Westfalen","Dülmen Stadt","Dülmen ","Dülmen , Nordrhein-Westfalen",149,"",51.84180069,7.279009819,77.8811938290325
"Nordrhein-Westfalen","Düren Stadt","Düren ","Düren , Nordrhein-Westfalen",585,"",50.803553,6.480544,50.2881750926683
"Nordrhein-Westfalen","Düsseldorf Stadt","Düsseldorf ","Düsseldorf , Nordrhein-Westfalen",226079,"",51.21562958,6.776040077,0
"Nordrhein-Westfalen","Emmerich am Rhein Stadt","Emmerich am Rhein ","Emmerich am Rhein , Nordrhein-Westfalen",396,"",51.83309937,6.24477005,77.9288252159233
"Nordrhein-Westfalen","Emsdetten Stadt","Emsdetten ","Emsdetten , Nordrhein-Westfalen",146,"",52.17979813,7.521830082,118.960793729608
"Nordrhein-Westfalen","Engelskirchen","Engelskirchen","Engelskirchen, Nordrhein-Westfalen",151,"",50.98320007,7.415780067,51.7285754158316
"Nordrhein-Westfalen","Erkelenz Stadt","Erkelenz","Erkelenz, Nordrhein-Westfalen",354,"",51.08060074,6.312489986,35.7418198395046
"Nordrhein-Westfalen","Erkrath Fundort des Neanderthalers Stadt","Erkrath","Erkrath, Nordrhein-Westfalen",277,"",51.2215004,6.897799969,8.53202102179384
"Nordrhein-Westfalen","ESCHWEILER","Eschweiler","Eschweiler, Nordrhein-Westfalen",192,"",50.81719971,6.269489765,56.7942669203595
"Nordrhein-Westfalen","Essen Stadt","Essen ","Essen , Nordrhein-Westfalen",5658,"",51.45180893,7.01060009,30.9315918316436
"Nordrhein-Westfalen","Euskirchen Stadt","Euskirchen ","Euskirchen , Nordrhein-Westfalen",209,"",50.65769958,6.787320137,62.0323496876192
"Nordrhein-Westfalen","Frechen Stadt","Frechen ","Frechen , Nordrhein-Westfalen",190,"",50.90439987,6.792049885,34.619691766278
"Nordrhein-Westfalen","Geilenkirchen Stadt","Geilenkirchen ","Geilenkirchen , Nordrhein-Westfalen",150,"",50.96450043,6.119709969,53.795535653487
"Nordrhein-Westfalen","Geldern Stadt","Geldern ","Geldern , Nordrhein-Westfalen",480,"",51.51399994,6.319210052,45.9646867429593
"Nordrhein-Westfalen","Gelsenkirchen Stadt","Gelsenkirchen ","Gelsenkirchen , Nordrhein-Westfalen",1857,"",51.51729965,7.122210026,41.305935770918
"Nordrhein-Westfalen","Geseke Stadt","Geseke ","Geseke , Nordrhein-Westfalen",103,"",51.63740158,8.501379967,128.834099637496
"Nordrhein-Westfalen","Gevelsberg Stadt","Gevelsberg ","Gevelsberg , Nordrhein-Westfalen",105,"",51.32730103,7.330160141,40.6145442909108
"Nordrhein-Westfalen","Gladbeck Stadt","Gladbeck ","Gladbeck , Nordrhein-Westfalen",314,"",51.57439041,6.992599964,42.6411577009765
"Nordrhein-Westfalen","Goch Stadt","Goch ","Goch , Nordrhein-Westfalen",366,"",51.67290115,6.17802,65.6772106882266
"Nordrhein-Westfalen","Greven Stadt","Greven ","Greven , Nordrhein-Westfalen",139,"",52.1053009,7.612979889,114.6261192245
"Nordrhein-Westfalen","Grevenbroich Stadt","Grevenbroich ","Grevenbroich , Nordrhein-Westfalen",681,"",51.09009933,6.593729973,18.9072078510832
"Nordrhein-Westfalen","Gronau Westf Stadt","Gronau (Westfalen)","Gronau (Westfalen), Nordrhein-Westfalen",158,"",52.21139908,7.045670033,112.27792497806
"Nordrhein-Westfalen","Gummersbach Stadt","Gummersbach ","Gummersbach , Nordrhein-Westfalen",240,"",51.02640152,7.557400227,58.6120677966559
"Nordrhein-Westfalen","Gütersloh Stadt","Gütersloh ","Gütersloh , Nordrhein-Westfalen",395,"",51.90390015,8.425290108,137.609847935827
"Nordrhein-Westfalen","Haan Stadt","Haan ","Haan , Nordrhein-Westfalen",1407,"",51.20759964,7.032999992,17.9779351638187
"Nordrhein-Westfalen","Hagen Stadt der FernUniversität","Hagen","Hagen, Nordrhein-Westfalen",1389,"",51.35960007,7.460989952,50.3933929216744
"Nordrhein-Westfalen","Haltern am See Stadt","Haltern am See ","Haltern am See , Nordrhein-Westfalen",204,"",51.7419014,7.18693018,65.1053409901414
"Nordrhein-Westfalen","Hamm Stadt","Hamm ","Hamm , Nordrhein-Westfalen",907,"",51.6711998,7.774710178,85.9448105965627
"Nordrhein-Westfalen","Hattingen Stadt","Hattingen ","Hattingen , Nordrhein-Westfalen",265,"",51.39239883,7.177740097,34.2201668906232
"Nordrhein-Westfalen","Heinsberg Stadt","Heinsberg ","Heinsberg , Nordrhein-Westfalen",266,"",51.06729889,6.099219799,50.1549109741869
"Nordrhein-Westfalen","Hemer Stadt","Hemer ","Hemer , Nordrhein-Westfalen",161,"",51.38619995,7.778329849,72.4282802734753
"Nordrhein-Westfalen","Herdecke Stadt","Herdecke ","Herdecke , Nordrhein-Westfalen",523,"",51.4007988,7.435560226,50.386792464879
"Nordrhein-Westfalen","Herford Hansestadt","Herford","Herford, Nordrhein-Westfalen",396,"",52.1167984,8.655059814,164.129291557898
"Nordrhein-Westfalen","Herne Stadt","Herne ","Herne , Nordrhein-Westfalen",831,"",51.54030991,7.21987009,47.5190217359602
"Nordrhein-Westfalen","Herten Stadt","Herten ","Herten , Nordrhein-Westfalen",337,"",51.62490082,7.149600029,52.4012808098547
"Nordrhein-Westfalen","Hilden Stadt","Hilden ","Hilden , Nordrhein-Westfalen",6367,"",51.16809845,6.953629971,13.4927648361118
"Nordrhein-Westfalen","Höxter Stadt","Höxter ","Höxter , Nordrhein-Westfalen",274,"",51.77149963,9.378410339,190.997437527606
"Nordrhein-Westfalen","Hückeswagen SchlossStadt","Hückeswagen","Hückeswagen, Nordrhein-Westfalen",103,"",51.14390182,7.331860065,39.6757804910785
"Nordrhein-Westfalen","Ibbenbüren Stadt","Ibbenbüren ","Ibbenbüren , Nordrhein-Westfalen",236,"",52.28219986,7.704470158,134.814617350358
"Nordrhein-Westfalen","Iserlohn Stadt","Iserlohn ","Iserlohn , Nordrhein-Westfalen",514,"",51.37630081,7.709980011,67.5466550870789
"Nordrhein-Westfalen","Issum","Issum","Issum, Nordrhein-Westfalen",109,"",51.54180145,6.43637991,43.2943133094581
"Nordrhein-Westfalen","Jülich Stadt","Jülich ","Jülich , Nordrhein-Westfalen",209,"",50.9294014,6.364029884,42.9709362937933
"Nordrhein-Westfalen","Kamen Stadt","Kamen ","Kamen , Nordrhein-Westfalen",124,"",51.59090042,7.661359787,74.4055855772433
"Nordrhein-Westfalen","KampLintfort Stadt","Kamp-Lintfort ","Kamp-Lintfort , Nordrhein-Westfalen",285,"",51.50189972,6.562530041,35.1315105222094
"Nordrhein-Westfalen","Kempen Stadt","Kempen ","Kempen , Nordrhein-Westfalen",361,"",51.3708992,6.407400131,30.9713953180602
"Nordrhein-Westfalen","Kevelaer Stadt","Kevelaer ","Kevelaer , Nordrhein-Westfalen",231,"",51.58409882,6.239789963,55.4169288361484
"Nordrhein-Westfalen","Kleve Stadt","Kleve ","Kleve , Nordrhein-Westfalen",558,"",51.7820015,6.117949963,77.8066389886051
"Nordrhein-Westfalen","Köln Stadt","Köln ","Köln , Nordrhein-Westfalen",5031,"",50.937737,6.960182,33.4821390508014
"Nordrhein-Westfalen","Korschenbroich Stadt","Korschenbroich ","Korschenbroich , Nordrhein-Westfalen",119,"",51.19240189,6.512420177,18.6042738520435
"Nordrhein-Westfalen","Krefeld Stadt","Krefeld ","Krefeld , Nordrhein-Westfalen",2617,"",51.33390045,6.562300205,19.8839628607213
"Nordrhein-Westfalen","Langenfeld Rheinland Stadt","Langenfeld (Rheinland)","Langenfeld (Rheinland), Nordrhein-Westfalen",1341,"",51.11059952,6.947969913,16.7629170495078
"Nordrhein-Westfalen","Lemgo Stadt","Lemgo ","Lemgo , Nordrhein-Westfalen",195,"",52.03820038,8.901579857,173.279082346806
"Nordrhein-Westfalen","Lennestadt Stadt","Lenne ","Lenne , Nordrhein-Westfalen",175,"",51.13154984,8.22371006,101.672073301537
"Nordrhein-Westfalen","Leverkusen Stadt","Leverkusen ","Leverkusen , Nordrhein-Westfalen",1380,"",51.03319168,6.981739998,24.8754820605004
"Nordrhein-Westfalen","Linnich Stadt","Linnich ","Linnich , Nordrhein-Westfalen",100,"",50.97840118,6.265950203,44.4115928310325
"Nordrhein-Westfalen","Lippstadt Stadt","Lipp ","Lipp , Nordrhein-Westfalen",403,"",50.99567032,6.568270206,28.4565770444808
"Nordrhein-Westfalen","Lübbecke Stadt","Lübbecke ","Lübbecke , Nordrhein-Westfalen",121,"",52.31240082,8.632479668,176.903740538278
"Nordrhein-Westfalen","Lüdenscheid Stadt","Lüdenscheid ","Lüdenscheid , Nordrhein-Westfalen",568,"",51.21080017,7.586289883,56.6186770476248
"Nordrhein-Westfalen","Lüdinghausen Stadt","Lüdinghausen ","Lüdinghausen , Nordrhein-Westfalen",118,"",51.77690125,7.460309982,78.4377324234473
"Nordrhein-Westfalen","Lünen Stadt","Lünen ","Lünen , Nordrhein-Westfalen",266,"",51.610421,7.528793,68.3326555532579
"Nordrhein-Westfalen","Marl Stadt","Marl ","Marl , Nordrhein-Westfalen",426,"",51.64910126,7.109570026,53.4862966725961
"Nordrhein-Westfalen","Meerbusch Stadt","Meerbusch ","Meerbusch , Nordrhein-Westfalen",1212,"",51.25188828,6.691020012,7.17723063747064
"Nordrhein-Westfalen","Menden Sauerland Stadt","Menden (Sauerland)","Menden (Sauerland), Nordrhein-Westfalen",243,"",51.43830109,7.799039841,75.4808303076675
"Nordrhein-Westfalen","Meschede Kreis und  Hochschulstadt","Meschede","Meschede, Nordrhein-Westfalen",249,"",51.35279846,8.276539803,105.789553952007
"Nordrhein-Westfalen","Mettingen","Mettingen","Mettingen, Nordrhein-Westfalen",104,"",52.31615067,7.780519962,140.648603267178
"Nordrhein-Westfalen","Mettmann Stadt","Mettmann ","Mettmann , Nordrhein-Westfalen",1645,"",51.24489975,6.96216011,13.4014930148974
"Nordrhein-Westfalen","Minden Stadt","Minden ","Minden , Nordrhein-Westfalen",384,"",52.28649902,8.945340157,191.350432628535
"Nordrhein-Westfalen","Moers Stadt","Moers ","Moers , Nordrhein-Westfalen",910,"",51.44979858,6.67013979,27.0614711195275
"Nordrhein-Westfalen","Mönchengladbach Stadt","Mönchengladbach ","Mönchengladbach , Nordrhein-Westfalen",3365,"",51.19549942,6.442679882,23.4047223043734
"Nordrhein-Westfalen","Mülheim an der Ruhr Stadt","Mülheim an der Ruhr ","Mülheim an der Ruhr , Nordrhein-Westfalen",1269,"",51.43159866,6.878769875,25.0570636278194
"Nordrhein-Westfalen","Münster Stadt","Münster ","Münster , Nordrhein-Westfalen",2434,"",51.96300888,7.617809772,101.531448928302
"Nordrhein-Westfalen","Nettetal Stadt","Nettetal ","Nettetal , Nordrhein-Westfalen",239,"",51.30624008,6.277369976,36.237078893056
"Nordrhein-Westfalen","Neuss Stadt","Neuss ","Neuss , Nordrhein-Westfalen",5462,"",51.21609879,6.667709827,7.56934932295178
"Nordrhein-Westfalen","Oberhausen Stadt","Oberhausen ","Oberhausen , Nordrhein-Westfalen",1934,"",51.4694519,6.855090141,28.7532352177297
"Nordrhein-Westfalen","Oelde Stadt","Oelde ","Oelde , Nordrhein-Westfalen",119,"",51.83209991,8.146849632,117.256039121564
