pops,distance,countsum,orte,norm,
225557,1821.946546,127,"Warna, Bulgarien",0.000563051,
228073.7031,1557.11124,145,"Bacau, Rumänien",0.000635759,
229625,162.9730524,559,"Wiesbaden, Hessen",0.002434404,
230401.2031,241.4353101,1551,"Hannover, Niedersachsen",0.006731736,
230773.7969,8033.466716,171,"Liaoning, China",0.000740985,
233324.9063,292.7970386,212,"Pforzheim, Baden-Württemberg",0.000908604,
233544.0938,51.72857542,151,"Engelskirchen, Nordrhein-Westfalen",0.000646559,
236642.9063,221.1222599,472,"Saarbrücken, Saarland",0.001994566,
242397.5,1295.83539,327,"Riga, Lettland",0.001349024,
246457.9063,41.54292782,409,"Hückeswagen, Nordrhein-Westfalen<br>Radevormwald, Nordrhein-Westfalen<br>Wipperfürth, Nordrhein-Westfalen",0.001659513,
247952.2031,487.6428491,1073,"Dresden, Sachsen",0.004327447,
249830.5938,101.5314489,2434,"Münster , Nordrhein-Westfalen",0.009742602,
253893.5,29.70927516,525,"Bergheim , Nordrhein-Westfalen<br>Lipp , Nordrhein-Westfalen",0.002067796,
256847.9063,91.45612593,1139,"Ahlen, Nordrhein-Westfalen<br>Hamm , Nordrhein-Westfalen",0.004434531,
261045.5,350.6658121,717,"Magdeburg, Sachsen-Anhalt",0.002746648,
263018.1875,842.0427629,520,"Gleiwitz, Polen<br>Peiskretscham, Polen",0.00197705,
263767,8238.758702,193,"Shandong, China",0.000731706,
264577.5938,290.2129486,208,"Heilbronn, Baden-Württemberg",0.000786159,
266788,413.1260786,735,"Kiel, Schleswig-Holstein",0.002754996,
271610.5,41.57201051,1415,"Kamp-Lintfort , Nordrhein-Westfalen<br>Rheinberg , Nordrhein-Westfalen<br>Wesel , Nordrhein-Westfalen",0.005209666,
295467.8125,271.3400063,611,"Karlsruhe, Baden-Württemberg",0.002067907,
299572.6875,8601.248784,248,"Jiangsu, China",0.000827846,
302855.0938,797.7638509,341,"Bromberg, Polen",0.001125951,
307112.8125,239.9957872,151,"Delmenhorst, Niedersachsen",0.000491676,
309040.3125,8624.130429,125,"Hunan, China",0.000404478,
317493.4063,4547.270675,341,"Karaganda, Kasachstan",0.001074038,
319120.9063,434.1667047,540,"Chemnitz, Sachsen",0.001692149,
319362.8125,4771.651347,121,"Herat, Afghanistan",0.000378879,
319923.8125,161.0669318,1919,"Bielefeld , Nordrhein-Westfalen<br>Bünde , Nordrhein-Westfalen<br>Herford, Nordrhein-Westfalen",0.005998303,
322421.0938,3499.192882,218,"Baku, Aserbaidschan",0.000676134,
322909.8125,839.8671009,105,"Rybnik, Polen",0.000325168,
323184.9063,4970.395138,105,"Benin City, Nigeria",0.000324891,
324251.1875,2075.611055,351,"Charkow, Ukraine",0.001082494,
330232.9063,436.5638867,252,"Augsburg, Bayern",0.000763098,
335288.5,4168.137179,121,"Isfahan, Iran",0.000360883,
336322.8125,717.6946209,1370,"Breslau, Polen",0.004073467,
340333.5938,201.2763454,332,"Darmstadt, Hessen",0.000975513,
341581.1875,584.2302131,502,"Stettin, Polen",0.001469636,
344088.0938,9382.995847,168,"Chiba, Japan",0.000488247,
353778.5938,2131.124347,126,"Fes, Marokko",0.000356155,
361423.0938,945.1334318,127,"Krakau, Polen",0.000351389,
363468.1875,1808.638006,129,"Constanta, Rumänien",0.000354914,
369211.8125,209.2120155,116,"Worms , Rheinland-Pfalz",0.000314183,
372897.1875,249.0572251,1278,"Bremen, Bremen",0.003427218,
372928.9063,63.1966826,707,"Iserlohn , Nordrhein-Westfalen<br>Schwerte , Nordrhein-Westfalen",0.001895804,
375174.1875,2136.957436,147,"Simferopol, Ukraine",0.000391818,
382048.0938,232.2280281,812,"Mannheim, Baden-Württemberg<br>Ludwigshafen am Rhein , Rheinland-Pfalz<br>Speyer , Rheinland-Pfalz",0.002125387,
382446.1875,190.5588577,441,"Hanau, Hessen<br>Offenbach am Main, Hessen",0.001153103,
382736.1875,68.19473356,2409,"Bonn , Nordrhein-Westfalen<br>Bad Neuenahr-Ahrweiler , Rheinland-Pfalz",0.006294153,
387807.9063,1573.84657,105,"Iasi, Rumänien",0.000270753,
395660.3125,2986.278089,177,"Tripoli, Libanon",0.000447353,
398989.4063,918.244798,121,"Dublin, Irland",0.000303266,
399188.1875,15.02694367,6262,"Grevenbroich , Nordrhein-Westfalen<br>Korschenbroich , Nordrhein-Westfalen<br>Neuss , Nordrhein-Westfalen",0.015686837,
399589.8125,243.0183878,617,"Heidelberg, Baden-Württemberg",0.001544083,
400584.4063,29.57327107,3719,"Erkelenz, Nordrhein-Westfalen<br>Mönchengladbach , Nordrhein-Westfalen",0.009283936,
400687.5938,1666.820944,128,"Chisinau, Moldawien",0.000319451,
403126.6875,882.4969942,210,"Lodz, Polen",0.000520928,
415477.6875,61.6406854,2547,"Aachen, Nordrhein-Westfalen<br>Bardenberg, Nordrhein-Westfalen<br>Geilenkirchen , Nordrhein-Westfalen",0.006130293,
416201.6875,341.2503298,270,"Tübingen, Baden-Württemberg",0.000648724,
421999.3125,870.0305463,641,"Danzig, Polen",0.00151896,
426364.4063,170.3907807,625,"Bad Soden am Taunus, Hessen<br>Mainz , Rheinland-Pfalz",0.001465882,
430845.8125,73.37336537,942,"Kamen , Nordrhein-Westfalen<br>Lünen , Nordrhein-Westfalen<br>Unna , Nordrhein-Westfalen<br>Werne , Nordrhein-Westfalen",0.002186397,
434041.1875,1990.938833,313,"Beni Touzine, Marokko<br>Tanger, Marokko",0.00072113,
442314.3125,8192.308443,112,"Henan, China",0.000253214,
478822.4063,1575.362577,362,"Sofia, Bulgarien",0.000756021,
483413.8125,41.96214139,2055,"Bottrop , Nordrhein-Westfalen<br>Dinslaken , Nordrhein-Westfalen<br>Dorsten , Nordrhein-Westfalen<br>Gladbeck , Nordrhein-Westfalen",0.004251016,
483787.1875,451.4151898,303,"Potsdam, Brandenburg",0.000626308,
503757.4063,869.3159261,807,"Kattowitz, Polen<br>Laurahütte, Polen",0.001601962,
518286.0938,2040.903116,387,"Dnepropetrowsk, Ukraine",0.000746692,
520526.9063,4308.610573,241,"Omsk, Russische Föderation",0.000462992,
524630.125,362.6240195,505,"Nürnberg, Bayern",0.000962583,
538346.875,391.5917323,1243,"Leipzig, Sachsen",0.00230892,
540958.1875,58.12953542,2966,"Castrop-Rauxel , Nordrhein-Westfalen<br>Datteln , Nordrhein-Westfalen<br>Dortmund , Nordrhein-Westfalen",0.005482864,
542150.625,706.4006417,157,"Posen, Polen",0.000289587,
556487.125,5176.571027,176,"Almaty, Kasachstan",0.00031627,
574158.375,47.68248446,1763,"Bergisch Gladbach , Nordrhein-Westfalen<br>Siegburg , Nordrhein-Westfalen<br>Troisdorf , Nordrhein-Westfalen",0.003070581,
588697.875,9200.272175,171,"Hyogo, Japan",0.000290472,
593501.8125,37.29461175,5351,"Brühl , Nordrhein-Westfalen<br>Frechen , Nordrhein-Westfalen<br>Köln , Nordrhein-Westfalen",0.009015979,
603442.875,339.8463742,2775,"Hamburg, Hamburg",0.004598613,
611774.375,45.09379956,2876,"Gevelsberg , Nordrhein-Westfalen<br>Hagen, Nordrhein-Westfalen<br>Herdecke , Nordrhein-Westfalen<br>Schwelm , Nordrhein-Westfalen<br>Witten , Nordrhein-Westfalen",0.00470108,
632586.625,1753.695223,870,"Leningrad, Russische Föderation<br>St. Petersburg, Russische Föderation",0.001375306,
640111.125,316.2866818,1210,"Ludwigsburg, Baden-Württemberg<br>Stuttgart, Baden-Württemberg",0.001890297,
642173.625,445.9674427,100,"Zürich, Schweiz",0.000155721,
653109.625,17.67745719,5206,"Krefeld , Nordrhein-Westfalen<br>Meerbusch , Nordrhein-Westfalen<br>Moers , Nordrhein-Westfalen<br>Willich , Nordrhein-Westfalen",0.007971097,
657400.1875,556.0095022,173,"Prag, Tschechische Republik",0.000263158,
659605.5,25.93788129,4729,"Haan , Nordrhein-Westfalen<br>Remscheid , Nordrhein-Westfalen<br>Solingen , Nordrhein-Westfalen<br>Wermelskirchen , Nordrhein-Westfalen",0.007169437,
666498.375,1984.187997,440,"Athen, Griechenland",0.000660167,
726557.375,52.34313734,4514,"Gelsenkirchen , Nordrhein-Westfalen<br>Haltern am See , Nordrhein-Westfalen<br>Herne , Nordrhein-Westfalen<br>Herten , Nordrhein-Westfalen<br>Marl , Nordrhein-Westfalen<br>Recklinghausen , Nordrhein-Westfalen",0.006212861,
729197.125,988.1448101,259,"Warschau, Polen",0.000355185,
748976.1875,9301.531908,212,"Aichi, Japan",0.000283053,
774266.875,176.1445377,1733,"Bad Homburg von der Höhe, Hessen<br>Frankfurt am Main, Hessen",0.002238246,
792944.1875,1623.064955,265,"Tunis, Tunesien",0.000334198,
793453.375,1543.4853,220,"Palermo, Italien",0.000277269,
814085.1875,15.16153066,11618,"Dormagen , Nordrhein-Westfalen<br>Erkrath, Nordrhein-Westfalen<br>Hilden , Nordrhein-Westfalen<br>Langenfeld (Rheinland), Nordrhein-Westfalen<br>Leverkusen , Nordrhein-Westfalen<br>Mettmann , Nordrhein-Westfalen",0.014271234,
816480.1875,3063.636778,241,"Tiflis, Georgien",0.000295169,
817974.125,1824.797898,381,"Odessa, Ukraine",0.000465785,
823794.5,3582.066781,145,"Tscheljabinsk, Russische Föderation",0.000176015,
827431.875,3623.60071,352,"Bagdad, Irak",0.000425413,
834354.375,857.6138026,1300,"Beuthen, Polen<br>Hindenburg, Polen<br>Königshütte, Polen<br>Tranowitz, Polen",0.001558091,
844010.625,1709.936676,547,"Thessaloniki, Griechenland",0.000648096,
856062.125,985.1057171,325,"Budapest, Ungarn",0.000379645,
918060.1875,8874.322697,379,"Shanghai, China",0.000412827,
947604.125,30.20734641,13333,"Bochum , Nordrhein-Westfalen<br>Essen , Nordrhein-Westfalen<br>Hattingen , Nordrhein-Westfalen<br>Velbert , Nordrhein-Westfalen<br>Wülfrath , Nordrhein-Westfalen<br>Wuppertal , Nordrhein-Westfalen",0.014070222,
954367.1875,180.943119,148,"Amsterdam, Niederlande",0.000155077,
964186.625,1863.420233,115,"Lissabon, Portugal",0.000119272,
973502.625,3009.602849,190,"Beirut, Libanon",0.000195172,
986525.875,768.1529877,433,"Wien, Österreich",0.000438914,
997041.8125,489.411443,1673,"München, Bayern",0.001677964,
1000685,21.79582985,15233,"Duisburg , Nordrhein-Westfalen<br>Mülheim an der Ruhr , Nordrhein-Westfalen<br>Oberhausen , Nordrhein-Westfalen<br>Ratingen , Nordrhein-Westfalen",0.015222573,
1012079,1122.673194,173,"Rom, Italien",0.000170935,
1023310,2280.355471,295,"Casablanca, Marokko",0.00028828,
1044813,476.9283607,5692,"Berlin, Berlin",0.005447865,
1137163,2040.98987,557,"Istanbul, Türkei",0.000489815,
1155855,1667.901864,608,"Kiew, Ukraine",0.000526018,
1192425,4990.038901,447,"Kumasi, Ghana",0.000374866,
1216081,5242.666616,586,"Kabul, Afghanistan",0.000481876,
1238455,173.2481822,103,"Brüssel, Belgien",8.31681E-05,
1256160,664.9214892,104,"Mailand, Italien",8.2792E-05,
1314680,1431.524344,183,"Minsk, Weißrussland",0.000139197,
1323933,9001.261547,124,"Bogota, Kolumbien",9.36603E-05,
1454462,4790.899181,236,"Taschkent, Usbekistan",0.000162259,
1469326,9120.067377,124,"Fukuoka, Japan",8.43924E-05,
1511459,5093.665542,621,"Accra, Ghana",0.000410861,
1512368,1287.530586,264,"Neapel, Italien",0.000174561,
1573739,7961.685238,103,"Caracas, Venezuela",6.54492E-05,
1712438,9540.317328,105,"Rio de Janeiro, Brasilien",6.13161E-05,
1809008,9110.308755,178,"Guangdong, China",9.83965E-05,
1873134,1446.302089,437,"Madrid, Spanien",0.000233299,
1925137,9356.459497,267,"Kanagawa, Japan",0.000138691,
1974383,1624.670498,709,"Bukarest, Rumänien",0.0003591,
2023573,7826.221209,125,"Beijing, China",6.17719E-05,
2133650,2089.507811,1240,"Moskau, Russische Föderation",0.000581164,
2228103,3100.780471,180,"Kairo, Ägypten",8.07862E-05,
