"pops","distance","countsum","orte","norm"
165142.40625,286.0804593,320,"Bremerhaven, Bremen",0.00193772155357582
165523.59375,69.59008813,175,"Waldbröl , Nordrhein-Westfalen",0.00105725109052618
167525.59375,148.660178,670,"Osnabrück, Niedersachsen",0.00399938889934542
174830.796875,352.1318876,184,"Erlangen, Bayern",0.00105244615530498
175482,973.7085833,615,"Olsztyn (Allenstein), Polen",0.00350463295380723
176744.09375,8006.619819,134,"Jaffna, Sri Lanka",0.000758158290650094
181992.796875,363.428718,720,"Merseburg, Sachsen-Anhalt<br>Halle (Saale), Sachsen-Anhalt",0.0039562005330053
182699,269.2591264,102,"Peine, Niedersachsen",0.000558295338233926
183113.203125,8367.071606,202,"Hubei, China",0.00110314273658414
186335,267.1495812,185,"Salzgitter, Niedersachsen",0.000992835484476883
187662.90625,57.615372425,808,"Gummersbach , Nordrhein-Westfalen<br>Lüdenscheid , Nordrhein-Westfalen",0.00430559249105735
191710,365.873534,607,"Freiburg, Baden-Württemberg",0.00316624067602107
192339.703125,110.8856445,629,"Koblenz , Rheinland-Pfalz",0.00327025564550871
194620.90625,396.2163661,458,"Lübeck, Schleswig-Holstein",0.00235329291608414
195339.703125,132.015933,627,"Gütersloh , Nordrhein-Westfalen<br>Rheda-Wiedenbrück , Nordrhein-Westfalen",0.00320979294003931
195990,2562.262705,263,"Aksaray, Türkei",0.00134190519924486
2e+05,3016.642092,100,"Homs, Syrien",5e-04
200001,1942.812443,792,"Nador, Marokko",0.003959980200099
204891.40625,29.466735315,2113,"Nettetal , Nordrhein-Westfalen<br>Kempen , Nordrhein-Westfalen<br>Viersen , Nordrhein-Westfalen<br>Tönisvorst , Nordrhein-Westfalen",0.0103127800168534
208090.5,50.15491097,266,"Heinsberg , Nordrhein-Westfalen",0.00127828997479462
210606.40625,482.2837847,410,"Rostock, Mecklenburg-Vorpommern",0.00194675939493175
217572.40625,4900.092724,136,"Asmara, Eritrea",0.000625079265997225
219987.203125,1698.229376,149,"Plowdiw, Bulgarien",0.00067731212490272
