"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Italien","Neapel","Neapel, Italien",264,40.84769821,14.26259995,1287.530586,962940,0.000274160383824537
"Serbien","Belgrad","Belgrad, Serbien",1084,44.81309891,20.46326065,1241.326102,1639121,0.000661330066541762
"Rumänien","Timisoara","Timisoara, Rumänien",163,45.75553513,21.23749924,1226.101115,303640,0.000536819918324331
"Serbien","Sabac","Sabac, Serbien",125,44.75851059,19.70169067,1199.485271,55114,0.00226802627281634
"Bosnien und Herzegowina","Sarajevo","Sarajevo, Bosnien und Herzegowina",246,43.85942078,18.4357605,1196.753974,304614,0.000807579428391341
"Bosnien und Herzegowina","Tuzla","Tuzla, Bosnien und Herzegowina",160,44.53680038,18.69599915,1157.536956,142486,0.00112291733924736
"Spanien","Barcelona","Barcelona, Spanien",316,41.375,2.157589912,1148.859376,1619337,0.000195141591898413
"Bosnien und Herzegowina","Zenica","Zenica, Bosnien und Herzegowina",106,44.19469833,17.93720055,1142.27792,164423,0.000644678664177153
"Italien","Rom","Rom, Italien",173,41.90304947,12.49580002,1122.673194,2612068,6.62310475837536e-05
"Kroatien","Split","Split, Kroatien",103,43.5141983,16.4314003,1122.321377,176314,0.000584185033519743
"Polen","Elk (Lyck)","Elk (Lyck), Polen",222,53.82939911,22.37470055,1095.4087,56419,0.00393484464453464
"Russische Föderation","Königsberg","Königsberg, Russische Föderation",470,54.7090416,20.50595093,998.9353983,423651,0.00110940373090114
"Polen","Warszawa (Warschau)","Warszawa (Warschau), Polen",259,52.22874832,21.00625038,988.1448101,1716855,0.000150857236050802
"Ungarn","Budapest","Budapest, Ungarn",325,47.51303101,19.12298012,985.1057171,1721556,0.000188782705877706
"Polen","Olsztyn (Allenstein)","Olsztyn (Allenstein), Polen",615,53.7737999,20.51469994,973.7085833,176387,0.00348665151059885
"Polen","Kraków (Krakau)","Kraków (Krakau), Polen",127,50.07339859,20.03590012,945.1334318,755546,0.000168090361142803
"Irland","Dublin","Dublin, Irland",121,53.33309937,-6.248889923,918.244798,1279603,9.45605785544423e-05
"Polen","Elblag (Elbing)","Elblag (Elbing), Polen",129,54.17919922,19.39509964,913.0009685,126876,0.00101674075475267
"Kroatien","Zagreb","Zagreb, Kroatien",386,45.80189896,15.94709969,904.9132434,686568,0.000562216706866618
"Polen","Lodz","Lodz, Polen",210,51.78829956,19.46839905,882.4969942,739832,0.000283848225002433
"Polen","Katowice (Kattowitz)","Katowice (Kattowitz), Polen",678,50.25608826,19.03095055,870.6528359,313461,0.00216294850077043
"Polen","Gdansk  (Danzig)","Gdansk  (Danzig), Polen",641,54.32889938,18.625,870.0305463,456103,0.00140538431012293
"Polen","Siemianowice Slaskie (Laurahütte)","Siemianowice Slaskie (Laurahütte), Polen",129,50.30279922,19.00760078,867.9790163,72000,0.00179166666666667
"Polen","Chorzów (Königshütte)","Chorzów (Königshütte), Polen",349,50.26433945,18.93671036,863.8866647,113739,0.00306842859529273
"Polen","Bytom (Beuthen)","Bytom (Beuthen), Polen",655,50.34809875,18.93280029,861.7709601,185793,0.00352542883746966
"Polen","Tarnowskie Góry (Tarnowitz)","Tarnowskie Góry (Tarnowitz), Polen",196,50.44319916,18.85720062,854.5139652,60954,0.00321553958722971
"Polen","Zabrze (Hindenburg)","Zabrze (Hindenburg), Polen",100,50.30569839,18.75510025,850.2836204,189656,0.000527270426456321
"Polen","Gliwice (Gleiwitz)","Gliwice (Gleiwitz), Polen",416,50.29270172,18.6678009,844.476653,197874,0.00210234795880207
"Polen","Rybnik","Rybnik, Polen",105,50.08982849,18.53274918,839.8671009,141262,0.00074329968427461
"Polen","Pyskowice (Peiskretscham)","Pyskowice (Peiskretscham), Polen",104,50.38869858,18.62779999,839.6088727,19061,0.00545616704265254
"Polen","Racibórz (Ratibor)","Racibórz (Ratibor), Polen",324,50.09799957,18.2241993,818.1577987,57099,0.00567435506751432
"Polen","Strzelce Opolskie (Groß Strehlitz)","Strzelce Opolskie (Groß Strehlitz), Polen",220,50.51047,18.299965,814.2599648,31219,0.00704699061468977
"Polen","Bydgoszcz (Bromberg)","Bydgoszcz (Bromberg), Polen",341,53.13349915,18.02750015,797.7638509,362397,0.000940957016752346
"Polen","Opole (Oppeln)","Opole (Oppeln), Polen",472,50.67839813,17.94720078,786.5841711,127246,0.00370935039215378
"Österreich","Wien","Wien, Österreich",433,48.20842743,16.37782097,768.1529877,1724381,0.000251104599273594
"Polen","Wroclaw (Breslau)","Wroclaw (Breslau), Polen",1370,51.1106987,17.04299927,717.6946209,633950,0.00216105371086048
"Polen","Poznan (Posen)","Poznan (Posen), Polen",157,52.35572815,16.85575676,706.4006417,564035,0.000278351520738961
"Polen","Swidnica","Swidnica, Polen",211,50.84090042,16.48740005,682.07207,60157,0.00350748873780275
"Italien","Mailand","Mailand, Italien",104,45.45199966,9.192770004,664.9214892,1307495,7.95414131602798e-05
"Polen","Szczecin (Stettin)","Szczecin (Stettin), Polen",502,53.42520142,14.55620003,584.2302131,408583,0.00122863653162271
"Sachsen","Görlitz","Görlitz, Sachsen",230,51.12950134,14.98349953,573.7847614,57111,0.00402724518919298
"Tschechische Republik","Prag","Prag, Tschechische Republik",173,50.12691879,14.45672035,556.0095022,1249026,0.000138507925375453
"Brandenburg","Frankfurt an der Oder","Frankfurt an der Oder, Brandenburg",180,52.34370041,14.55099964,550.7534804,62594,0.00287567498482283
"Mecklenburg-Vorpommern","Greifswald","Greifswald, Mecklenburg-Vorpommern",144,54.08974457,13.39124393,549.713313,53434,0.00269491335104989
"Mecklenburg-Vorpommern","Stralsund","Stralsund, Mecklenburg-Vorpommern",134,54.30881119,13.09450722,547.609523,58288,0.00229892945374691
"Sachsen","Bautzen","Bautzen, Sachsen",104,51.17689896,14.42910004,534.731525,41779,0.0024892888771871
"Brandenburg","Cottbus","Cottbus, Brandenburg",210,51.76089859,14.35079956,529.3657332,103837,0.0020224004930805
"Sachsen","Hoyerswerda","Hoyerswerda, Sachsen",105,51.43901825,14.24427986,520.9201467,39214,0.00267761513745091
"Mecklenburg-Vorpommern","Neubrandenburg","Neubrandenburg, Mecklenburg-Vorpommern",117,53.55918503,13.27782536,513.3949516,67517,0.00173289690003999
"Brandenburg","Eberswalde","Eberswalde, Brandenburg",101,52.832901,13.75199986,511.2312723,41787,0.00241701964725872
"Bayern","München","München, Bayern",1673,48.10155106,11.57227039,489.411443,1353186,0.00123634149333499
"Sachsen","Dresden","Dresden, Sachsen",1073,51.05363083,13.74081039,487.6428491,523058,0.00205139774174183
"Brandenburg","Schwerin","Schwerin, Brandenburg",206,52.15819931,13.63269997,485.4218934,96280,0.00213959285417532
"Mecklenburg-Vorpommern","Rostock","Rostock, Mecklenburg-Vorpommern",410,54.0790596,12.13216019,482.2837847,199868,0.00205135389356976
"Vereinigtes Königreich","London","London, Vereinigtes Königreich",351,51.50642014,-0.127210006,481.7261149,8173941,4.29413424931743e-05
"Berlin","Berlin","Berlin, Berlin",5692,52.51607132,13.37697983,476.9283607,3442675,0.00165336547887907
"Sachsen","Meißen","Meißen, Sachsen",105,51.162428,13.494248,469.5561505,28057,0.00374238158035428
"Sachsen","Freiberg","Freiberg, Sachsen",114,50.91059875,13.34889984,461.8626576,42897,0.0026575284984964
"Brandenburg","Potsdam","Potsdam, Brandenburg",303,52.38288879,13.04601002,451.4151898,156906,0.00193109250124278
"Bayern","Regensburg","Regensburg, Bayern",166,49.02399826,12.07590008,450.397446,135520,0.00122491145218418
"Schweiz","Zürich","Zürich, Schweiz",100,47.36560059,8.505949974,445.9674427,372857,0.000268199336474842
"Schleswig-Holstein","Flensburg ","Flensburg , Schleswig-Holstein",271,54.79779816,9.477919579,437.6657017,86630,0.00312824656585478
"Bayern","Augsburg","Augsburg, Bayern",252,48.35509872,10.93309975,436.5638867,262512,0.000959956116291827
"Sachsen","Chemnitz","Chemnitz, Sachsen",540,50.83620071,12.93700027,434.1667047,245700,0.0021978021978022
"Baden-Württemberg","Konstanz","Konstanz, Baden-Württemberg",120,47.67670059,9.182880402,430.2429327,81006,0.00148137175024072
"Brandenburg","Brandenburg an der Havel","Brandenburg an der Havel, Brandenburg",208,52.41090012,12.50090027,416.4389623,72516,0.00286833250592973
"Schleswig-Holstein","Eutin ","Eutin , Schleswig-Holstein",105,54.13729858,10.6086998,415.5385722,17334,0.00605745932848737
"Schleswig-Holstein","Schleswig ","Schleswig , Schleswig-Holstein",122,54.53390121,9.562609673,413.9229371,24121,0.00505783342315824
"Sachsen-Anhalt","Wittenberg","Wittenberg, Sachsen-Anhalt",174,51.8676796,12.64865971,413.7047252,46133,0.00377170355277134
"Schleswig-Holstein","Kiel","Kiel, Schleswig-Holstein",735,54.32324982,10.1322403,413.1260786,235366,0.00312279598582633
"Frankreich","Paris","Paris, Frankreich",503,48.85692978,2.341200113,411.7978881,2233818,0.0002251750142581
"Sachsen","Zwickau","Zwickau, Sachsen",213,50.71789932,12.45730019,402.8081702,96786,0.00220073151075569
