"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Niedersachsen","Delmenhorst","Delmenhorst, Niedersachsen",151,53.04919815,8.625289917,239.9957872,75320,0.00200477960701009
"Niedersachsen","Oldenburg","Oldenburg, Niedersachsen",572,53.14419937,8.193479538,235.3461406,159060,0.00359612724757953
"Niedersachsen","Northeim","Northeim, Niedersachsen",118,51.70349884,9.992620468,230.0234452,30617,0.00385406800143711
"Niedersachsen","Leer (Ostfriesland)","Leer (Ostfriesland), Niedersachsen",168,53.23751068,7.461763859,229.6657373,34128,0.00492264416315049
"Niedersachsen","Gronau (Leine)","Gronau (Leine), Niedersachsen",140,52.08319855,9.786910057,229.6113939,5413,0.0258636615555145
"Baden-Württemberg","Mannheim","Mannheim, Baden-Württemberg",464,49.48120117,8.482709885,227.8620814,313174,0.00148160447546731
"Rheinland-Pfalz","Ludwigshafen am Rhein ","Ludwigshafen am Rhein , Rheinland-Pfalz",212,49.48094177,8.447299957,226.5538915,163560,0.00129616043042309
"Niedersachsen","Husum","Husum, Niedersachsen",110,52.56420135,9.242050171,226.4935276,20751,0.00530094935183847
"Niedersachsen","Göttingen","Göttingen, Niedersachsen",645,51.55989838,9.931920052,222.9743012,121581,0.00530510523848299
"Saarland","Saarbrücken","Saarbrücken, Saarland",472,49.23149109,6.998330116,221.1222599,177870,0.00265362343284421
"Hessen","Fulda","Fulda, Hessen",220,50.54769897,9.671759605,216.8774269,63886,0.00344363397301443
"Bayern","Aschaffenburg","Aschaffenburg, Bayern",157,49.98799896,9.109880447,214.2816863,68664,0.00228649656297332
"Niedersachsen","Papenburg","Papenburg, Niedersachsen",124,53.07429886,7.409880161,211.1884099,34890,0.00355402694181714
"Rheinland-Pfalz","Worms ","Worms , Rheinland-Pfalz",116,49.62779999,8.356789589,209.2120155,82212,0.00141098623072058
"Rheinland-Pfalz","Kaiserslautern ","Kaiserslautern , Rheinland-Pfalz",166,49.44329834,7.755539894,208.9885983,98044,0.00169311737587206
"Hessen","Bad Hersfeld","Bad Hersfeld, Hessen",119,50.86500168,9.702589989,208.9120841,30415,0.00391254315304948
"Niedersachsen","Hameln","Hameln, Niedersachsen",217,52.1012001,9.348750114,203.4287226,58517,0.00370832407676402
"Hessen","Darmstadt","Darmstadt, Hessen",332,49.85340118,8.646519661,201.2763454,141257,0.00235032600154329
"Niedersachsen","Cloppenburg","Cloppenburg, Niedersachsen",137,52.8404007,8.043840408,200.5258988,31757,0.00431400950971439
"Niedersachsen","Vechta","Vechta, Niedersachsen",143,52.7356987,8.281640053,198.1651677,30388,0.00470580492299592
"Niedersachsen","Holzminden","Holzminden, Niedersachsen",123,51.82720184,9.445819855,197.3714432,20667,0.00595151691101756
"Hessen","Hanau","Hanau, Hessen",182,50.13539886,8.917329788,193.1970998,88472,0.00205714802423366
"Niedersachsen","Bad Pyrmont","Bad Pyrmont, Niedersachsen",104,51.99020004,9.266719818,192.8469639,21355,0.00487005385155701
"Nordrhein-Westfalen","Minden ","Minden , Nordrhein-Westfalen",384,52.28649902,8.945340157,191.3504326,83099,0.00462099423579104
"Nordrhein-Westfalen","Höxter ","Höxter , Nordrhein-Westfalen",274,51.77149963,9.378410339,190.9974375,32385,0.00846070711749267
"Hessen","Kassel","Kassel, Hessen",732,51.31610107,9.468520164,188.2441752,193518,0.00378259386723716
"Hessen","Offenbach am Main","Offenbach am Main, Hessen",259,50.10329819,8.777469635,187.9206156,117564,0.0022030553570821
"Hessen","Frankfurt am Main","Frankfurt am Main, Hessen",1621,50.11207962,8.683409691,182.2981758,679664,0.00238500200098872
"Nordrhein-Westfalen","Bad Oeynhausen","Bad Oeynhausen, Nordrhein-Westfalen",188,52.22249985,8.816619873,180.0437099,49194,0.0038216042606822
"Nordrhein-Westfalen","Lübbecke ","Lübbecke , Nordrhein-Westfalen",121,52.31240082,8.632479668,176.9037405,26188,0.00462043684130136
"Nordrhein-Westfalen","Lemgo ","Lemgo , Nordrhein-Westfalen",195,52.03820038,8.901579857,173.2790823,41958,0.00464750464750465
"Rheinland-Pfalz","Bad Kreuznach ","Bad Kreuznach , Rheinland-Pfalz",166,49.82559967,7.868330002,172.8465332,43838,0.00378666909986769
"Rheinland-Pfalz","Mainz ","Mainz , Rheinland-Pfalz",524,50.00061035,8.272279739,171.6360187,196425,0.00266768486699758
"Hessen","Bad Homburg von der Höhe","Bad Homburg von der Höhe, Hessen",112,50.22650146,8.611969948,169.9908995,51691,0.00216672147956124
"Niedersachsen","Haselünne","Haselünne, Niedersachsen",105,52.6780014,7.479949951,169.6583528,12689,0.00827488375758531
"Hessen","Bad Soden am Taunus","Bad Soden am Taunus, Hessen",101,50.15670013,8.49489975,169.1455426,21295,0.0047428973937544
"Niedersachsen","Meppen","Meppen, Niedersachsen",140,52.69329834,7.277890205,167.893524,34580,0.00404858299595142
"Nordrhein-Westfalen","Warburg","Warburg, Nordrhein-Westfalen",144,51.48379898,9.132909775,166.8767605,24160,0.00596026490066225
"Nordrhein-Westfalen","Detmold ","Detmold , Nordrhein-Westfalen",425,51.94300079,8.876379967,166.5398613,73707,0.0057660737786099
"Nordrhein-Westfalen","Bünde ","Bünde , Nordrhein-Westfalen",145,52.196763,8.582987,165.8319821,44994,0.00322265190914344
"Nordrhein-Westfalen","Herford","Herford, Nordrhein-Westfalen",396,52.1167984,8.655059814,164.1292916,65060,0.00608668920996004
"Hessen","Wiesbaden","Wiesbaden, Hessen",559,50.08459854,8.242289543,162.9730524,275562,0.00202858158962411
"Rheinland-Pfalz","Trier ","Trier , Rheinland-Pfalz",661,49.75733948,6.636199951,162.412597,103274,0.00640044929023762
"Nordrhein-Westfalen","Bielefeld ","Bielefeld , Nordrhein-Westfalen",1378,52.00189972,8.592909813,153.2395216,325846,0.00422899160953334
"Niedersachsen","Lingen (Ems)","Lingen (Ems), Niedersachsen",221,52.53214264,7.323010921,151.1572289,51417,0.00429818931481806
"Hessen","Gießen","Gießen, Hessen",361,50.58409882,8.678359985,151.1175413,73958,0.00488114876010709
