Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz
Nordrhein-Westfalen,Gevelsberg ,"Gevelsberg , Nordrhein-Westfalen",105,51.32730103,7.330160141,40.61454429
Nordrhein-Westfalen,Gladbeck ,"Gladbeck , Nordrhein-Westfalen",314,51.57439041,6.992599964,42.6411577
Nordrhein-Westfalen,Goch ,"Goch , Nordrhein-Westfalen",366,51.67290115,6.17802,65.67721069
Nordrhein-Westfalen,Greven ,"Greven , Nordrhein-Westfalen",139,52.1053009,7.612979889,114.6261192
Nordrhein-Westfalen,Grevenbroich ,"Grevenbroich , Nordrhein-Westfalen",681,51.09009933,6.593729973,18.90720785
Nordrhein-Westfalen,Gronau (Westfalen),"Gronau (Westfalen), Nordrhein-Westfalen",158,52.21139908,7.045670033,112.277925
Nordrhein-Westfalen,Gummersbach ,"Gummersbach , Nordrhein-Westfalen",240,51.02640152,7.557400227,58.6120678
Nordrhein-Westfalen,Gütersloh ,"Gütersloh , Nordrhein-Westfalen",395,51.90390015,8.425290108,137.6098479
Nordrhein-Westfalen,Haan ,"Haan , Nordrhein-Westfalen",1407,51.20759964,7.032999992,17.97793516
Nordrhein-Westfalen,Hagen,"Hagen, Nordrhein-Westfalen",1389,51.35960007,7.460989952,50.39339292
Nordrhein-Westfalen,Haltern am See ,"Haltern am See , Nordrhein-Westfalen",204,51.7419014,7.18693018,65.10534099
Nordrhein-Westfalen,Hamm ,"Hamm , Nordrhein-Westfalen",907,51.6711998,7.774710178,85.9448106
Nordrhein-Westfalen,Hattingen ,"Hattingen , Nordrhein-Westfalen",265,51.39239883,7.177740097,34.22016689
Nordrhein-Westfalen,Heinsberg ,"Heinsberg , Nordrhein-Westfalen",266,51.06729889,6.099219799,50.15491097
Nordrhein-Westfalen,Hemer ,"Hemer , Nordrhein-Westfalen",161,51.38619995,7.778329849,72.42828027
Nordrhein-Westfalen,Herdecke ,"Herdecke , Nordrhein-Westfalen",523,51.4007988,7.435560226,50.38679246
Nordrhein-Westfalen,Herford,"Herford, Nordrhein-Westfalen",396,52.1167984,8.655059814,164.1292916
Nordrhein-Westfalen,Herne ,"Herne , Nordrhein-Westfalen",831,51.54030991,7.21987009,47.51902174
Nordrhein-Westfalen,Herten ,"Herten , Nordrhein-Westfalen",337,51.62490082,7.149600029,52.40128081
Nordrhein-Westfalen,Hilden ,"Hilden , Nordrhein-Westfalen",6367,51.16809845,6.953629971,13.49276484
Nordrhein-Westfalen,Höxter ,"Höxter , Nordrhein-Westfalen",274,51.77149963,9.378410339,190.9974375
Nordrhein-Westfalen,Hückeswagen,"Hückeswagen, Nordrhein-Westfalen",103,51.14390182,7.331860065,39.67578049
Nordrhein-Westfalen,Ibbenbüren ,"Ibbenbüren , Nordrhein-Westfalen",236,52.28219986,7.704470158,134.8146174
Nordrhein-Westfalen,Iserlohn ,"Iserlohn , Nordrhein-Westfalen",514,51.37630081,7.709980011,67.54665509
Nordrhein-Westfalen,Issum,"Issum, Nordrhein-Westfalen",109,51.54180145,6.43637991,43.29431331
Nordrhein-Westfalen,Jülich ,"Jülich , Nordrhein-Westfalen",209,50.9294014,6.364029884,42.97093629
Nordrhein-Westfalen,Kamen ,"Kamen , Nordrhein-Westfalen",124,51.59090042,7.661359787,74.40558558
Nordrhein-Westfalen,Kamp-Lintfort ,"Kamp-Lintfort , Nordrhein-Westfalen",285,51.50189972,6.562530041,35.13151052
Nordrhein-Westfalen,Kempen ,"Kempen , Nordrhein-Westfalen",361,51.3708992,6.407400131,30.97139532
Nordrhein-Westfalen,Kevelaer ,"Kevelaer , Nordrhein-Westfalen",231,51.58409882,6.239789963,55.41692884
Nordrhein-Westfalen,Kleve ,"Kleve , Nordrhein-Westfalen",558,51.7820015,6.117949963,77.80663899
Nordrhein-Westfalen,Köln ,"Köln , Nordrhein-Westfalen",5031,50.937737,6.960182,33.48213905
Nordrhein-Westfalen,Korschenbroich ,"Korschenbroich , Nordrhein-Westfalen",119,51.19240189,6.512420177,18.60427385
